executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
13683,"Amendments to Executive Orders 11030, 13653, and 13673",12/16/2014,12/11/2014,79 FR 75039, 2014-29625,"Amends: EO 11030, June 19, 1962; EO 13653, November 1, 2013; EO 13673, July 31, 2014
; See: EO 13653, November 1, 2013",https://www.federalregister.gov/articles/2014/12/16/2014-29625/amendments-to-executive-orders-11030-13653-and-13673
13684,Establishment of the President's Task Force on 21st Century Policing,12/23/2014,12/18/2014,79 FR 76865, 2014-30195,"",https://www.federalregister.gov/articles/2014/12/23/2014-30195/establishment-of-the-presidents-task-force-on-21st-century-policing
13685,Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine,12/24/2014,12/19/2014,79 FR 77357, 2014-30323,"See: EO 13660, March 6, 2014; EO 13661, March 16, 2014; EO 13662, March 20, 2014",https://www.federalregister.gov/articles/2014/12/24/2014-30323/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-the-crimea
13686,Adjustments of Certain Rates of Pay,12/24/2014,12/19/2014,79 FR 77361, 2014-30363,"Supersedes: EO 13655, December 23, 2013",https://www.federalregister.gov/articles/2014/12/24/2014-30363/adjustments-of-certain-rates-of-pay
13687,Imposing Additional Sanctions With Respect To North Korea,01/06/2015,01/02/2015,80 FR 817, 2015-00058,"",https://www.federalregister.gov/articles/2015/01/06/2015-00058/imposing-additional-sanctions-with-respect-to-north-korea
13688,Federal Support for Local Law Enforcement Equipment Acquisition,01/22/2015,01/16/2015,80 FR 3451, 2015-01255,"",https://www.federalregister.gov/articles/2015/01/22/2015-01255/federal-support-for-local-law-enforcement-equipment-acquisition
13689,Enhancing Coordination of National Efforts in the Arctic,01/26/2015,01/21/2015,80 FR 4189, 2015-01522,"",https://www.federalregister.gov/articles/2015/01/26/2015-01522/enhancing-coordination-of-national-efforts-in-the-arctic
13690,Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input,02/04/2015,01/30/2015,80 FR 6425, 2015-02379,"",https://www.federalregister.gov/articles/2015/02/04/2015-02379/establishing-a-federal-flood-risk-management-standard-and-a-process-for-further-soliciting-and
13691,Promoting Private Sector Cybersecurity Information Sharing,02/20/2015,02/13/2015,80 FR 9347, 2015-03714,"",https://www.federalregister.gov/articles/2015/02/20/2015-03714/promoting-private-sector-cybersecurity-information-sharing
13692,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela,03/11/2015,03/08/2015,80 FR 12747, 2015-05677,"",https://www.federalregister.gov/articles/2015/03/11/2015-05677/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-venezuela
13693,Planning for Federal Sustainability in the Next Decade,03/25/2015,03/19/2015,80 FR 15869, 2015-07016,"",https://www.federalregister.gov/articles/2015/03/25/2015-07016/planning-for-federal-sustainability-in-the-next-decade
13694,Blocking the Property of Certain Persons Engaging in Significant Malicious Cyber-Enabled Activities,04/02/2015,04/01/2015,80 FR 18077, 2015-07788,"",https://www.federalregister.gov/articles/2015/04/02/2015-07788/blocking-the-property-of-certain-persons-engaging-in-significant-malicious-cyber-enabled-activities
15323,"Half-Day Closing of Executive Departments and Agencies on Thursday, December 24, 2009",12/16/2009,12/11/2009,74 FR 66563, E9-30020,"Federal Register correction page and date: 74 FR 67049, December 18, 2009",https://www.federalregister.gov/articles/2009/12/16/E9-30020/half-day-closing-of-executive-departments-and-agencies-on-thursday-december-24-2009
